Id,Label,timeset,modularity_class,Modularity Class_copy
0,0,,0,0
1,1,,0,0
3,3,,0,0
5,5,,0,0
7,7,,1,1
8,8,,0,0
9,9,,0,0
11,11,,0,0
12,12,,0,0
13,13,,0,0
14,14,,0,0
15,15,,0,0
16,16,,0,0
17,17,,0,0
18,18,,0,0
19,19,,0,0
21,21,,0,0
22,22,,0,0
24,24,,0,0
26,26,,0,0
27,27,,0,0
30,30,,0,0
31,31,,0,0
32,32,,0,0
35,35,,0,0
36,36,,0,0
39,39,,0,0
40,40,,0,0
41,41,,0,0
42,42,,0,0
44,44,,0,0
45,45,,0,0
47,47,,0,0
49,49,,0,0
52,52,,0,0
53,53,,0,0
55,55,,0,0
57,57,,0,0
59,59,,0,0
61,61,,0,0
62,62,,0,0
64,64,,0,0
67,67,,0,0
70,70,,0,0
71,71,,0,0
72,72,,0,0
73,73,,1,1
74,74,,0,0
78,78,,0,0
79,79,,0,0
80,80,,0,0
81,81,,0,0
82,82,,0,0
84,84,,0,0
87,87,,1,1
88,88,,1,1
89,89,,0,0
90,90,,0,0
93,93,,1,1
94,94,,0,0
97,97,,1,1
99,99,,0,0
100,100,,0,0
102,102,,0,0
103,103,,0,0
106,106,,0,0
109,109,,0,0
110,110,,0,0
112,112,,0,0
113,113,,0,0
115,115,,0,0
119,119,,0,0
121,121,,0,0
123,123,,0,0
124,124,,1,1
125,125,,0,0
133,133,,0,0
135,135,,0,0
136,136,,0,0
141,141,,0,0
142,142,,0,0
145,145,,1,1
151,151,,0,0
155,155,,0,0
156,156,,0,0
160,160,,0,0
161,161,,0,0
163,163,,0,0
164,164,,0,0
167,167,,1,1
168,168,,0,0
169,169,,0,0
171,171,,0,0
173,173,,0,0
175,175,,0,0
176,176,,0,0
178,178,,0,0
179,179,,1,1
180,180,,1,1
183,183,,0,0
184,184,,0,0
187,187,,0,0
188,188,,0,0
189,189,,0,0
192,192,,0,0
193,193,,0,0
194,194,,0,0
195,195,,0,0
196,196,,0,0
197,197,,0,0
199,199,,0,0
200,200,,0,0
202,202,,0,0
206,206,,0,0
207,207,,0,0
208,208,,0,0
211,211,,0,0
214,214,,0,0
215,215,,0,0
216,216,,0,0
217,217,,1,1
218,218,,0,0
220,220,,0,0
221,221,,0,0
222,222,,0,0
223,223,,0,0
229,229,,0,0
230,230,,0,0
233,233,,0,0
234,234,,0,0
235,235,,0,0
238,238,,0,0
239,239,,0,0
240,240,,0,0
244,244,,0,0
246,246,,0,0
247,247,,0,0
248,248,,0,0
249,249,,0,0
251,251,,0,0
256,256,,0,0
258,258,,1,1
259,259,,1,1
260,260,,1,1
261,261,,0,0
263,263,,0,0
264,264,,0,0
265,265,,0,0
273,273,,0,0
274,274,,0,0
275,275,,1,1
280,280,,0,0
282,282,,0,0
286,286,,0,0
289,289,,1,1
293,293,,0,0
294,294,,0,0
295,295,,0,0
297,297,,0,0
302,302,,0,0
303,303,,0,0
305,305,,0,0
308,308,,0,0
309,309,,0,0
310,310,,0,0
311,311,,0,0
312,312,,1,1
313,313,,1,1
320,320,,0,0
323,323,,0,0
325,325,,0,0
326,326,,0,0
328,328,,0,0
331,331,,0,0
335,335,,0,0
336,336,,0,0
344,344,,0,0
345,345,,0,0
348,348,,0,0
349,349,,0,0
351,351,,1,1
352,352,,0,0
354,354,,0,0
356,356,,0,0
362,362,,0,0
367,367,,0,0
368,368,,0,0
373,373,,0,0
376,376,,0,0
379,379,,0,0
380,380,,0,0
383,383,,0,0
385,385,,0,0
387,387,,0,0
390,390,,1,1
393,393,,0,0
395,395,,1,1
396,396,,0,0
400,400,,0,0
403,403,,0,0
404,404,,0,0
405,405,,0,0
406,406,,0,0
408,408,,0,0
410,410,,0,0
411,411,,0,0
412,412,,0,0
413,413,,0,0
414,414,,0,0
416,416,,0,0
418,418,,1,1
419,419,,0,0
425,425,,0,0
426,426,,0,0
427,427,,0,0
428,428,,0,0
429,429,,0,0
431,431,,0,0
433,433,,0,0
434,434,,0,0
436,436,,0,0
438,438,,0,0
439,439,,0,0
440,440,,0,0
441,441,,0,0
444,444,,0,0
446,446,,0,0
447,447,,0,0
448,448,,0,0
449,449,,0,0
450,450,,0,0
452,452,,1,1
453,453,,0,0
454,454,,0,0
456,456,,0,0
457,457,,0,0
458,458,,0,0
459,459,,0,0
461,461,,0,0
462,462,,0,0
465,465,,0,0
466,466,,0,0
467,467,,0,0
468,468,,0,0
469,469,,0,0
470,470,,0,0
473,473,,0,0
475,475,,0,0
476,476,,0,0
477,477,,0,0
478,478,,0,0
481,481,,0,0
482,482,,0,0
484,484,,0,0
485,485,,0,0
486,486,,0,0
487,487,,0,0
488,488,,0,0
490,490,,0,0
491,491,,0,0
34,34,,0,0
50,50,,0,0
83,83,,1,1
86,86,,1,1
101,101,,0,0
126,126,,0,0
132,132,,0,0
143,143,,0,0
158,158,,1,1
172,172,,0,0
204,204,,1,1
250,250,,0,0
252,252,,0,0
262,262,,0,0
267,267,,1,1
285,285,,1,1
333,333,,0,0
339,339,,0,0
355,355,,0,0
366,366,,0,0
399,399,,0,0
402,402,,1,1
421,421,,0,0
423,423,,1,1
432,432,,0,0
443,443,,0,0
471,471,,0,0
480,480,,0,0
483,483,,0,0
489,489,,0,0
2,2,,1,1
4,4,,1,1
10,10,,2,2
23,23,,1,1
60,60,,1,1
68,68,,1,1
96,96,,1,1
98,98,,1,1
104,104,,1,1
107,107,,1,1
116,116,,1,1
117,117,,1,1
122,122,,1,1
134,134,,1,1
146,146,,1,1
149,149,,1,1
153,153,,1,1
159,159,,1,1
213,213,,1,1
227,227,,1,1
228,228,,1,1
254,254,,1,1
272,272,,1,1
296,296,,1,1
341,341,,1,1
342,342,,1,1
353,353,,1,1
364,364,,1,1
365,365,,1,1
389,389,,1,1
392,392,,1,1
435,435,,1,1
56,56,,1,1
58,58,,1,1
127,127,,1,1
150,150,,1,1
177,177,,1,1
209,209,,1,1
288,288,,1,1
424,424,,0,0
191,191,,1,1
283,283,,1,1
322,322,,1,1
324,324,,1,1
291,291,,1,1
6,6,,1,1
29,29,,1,1
37,37,,1,1
54,54,,1,1
65,65,,1,1
76,76,,1,1
105,105,,1,1
108,108,,1,1
120,120,,1,1
225,225,,1,1
226,226,,1,1
284,284,,1,1
290,290,,1,1
372,372,,0,0
375,375,,1,1
381,381,,1,1
394,394,,1,1
137,137,,1,1
148,148,,0,0
157,157,,1,1
165,165,,1,1
174,174,,1,1
182,182,,1,1
198,198,,1,1
201,201,,1,1
210,210,,1,1
224,224,,1,1
241,241,,1,1
279,279,,1,1
300,300,,1,1
338,338,,1,1
347,347,,1,1
369,369,,1,1
407,407,,0,0
437,437,,1,1
442,442,,1,1
374,374,,2,2
451,451,,2,2
257,257,,1,1
464,464,,0,0
28,28,,1,1
276,276,,1,1
287,287,,1,1
48,48,,1,1
154,154,,1,1
255,255,,1,1
266,266,,1,1
268,268,,1,1
314,314,,1,1
329,329,,1,1
340,340,,1,1
370,370,,1,1
377,377,,1,1
382,382,,1,1
384,384,,1,1
20,20,,1,1
33,33,,1,1
51,51,,1,1
63,63,,1,1
95,95,,1,1
129,129,,1,1
166,166,,1,1
181,181,,1,1
231,231,,1,1
232,232,,1,1
243,243,,1,1
270,270,,1,1
301,301,,1,1
304,304,,1,1
317,317,,1,1
319,319,,1,1
332,332,,1,1
363,363,,1,1
388,388,,1,1
422,422,,1,1
360,360,,1,1
38,38,,1,1
77,77,,1,1
131,131,,1,1
185,185,,1,1
205,205,,1,1
212,212,,1,1
219,219,,1,1
237,237,,1,1
269,269,,1,1
281,281,,1,1
298,298,,1,1
306,306,,1,1
315,315,,1,1
316,316,,1,1
330,330,,1,1
346,346,,1,1
361,361,,1,1
371,371,,1,1
398,398,,1,1
420,420,,1,1
455,455,,1,1
472,472,,1,1
474,474,,1,1
25,25,,1,1
118,118,,1,1
130,130,,1,1
147,147,,1,1
292,292,,1,1
350,350,,1,1
75,75,,1,1
139,139,,1,1
253,253,,1,1
271,271,,1,1
114,114,,1,1
299,299,,1,1
318,318,,1,1
378,378,,1,1
397,397,,1,1
69,69,,1,1
91,91,,1,1
140,140,,1,1
242,242,,1,1
307,307,,1,1
334,334,,1,1
337,337,,1,1
386,386,,1,1
409,409,,1,1
430,430,,1,1
278,278,,1,1
144,144,,1,1
417,417,,1,1
186,186,,1,1
463,463,,1,1
43,43,,1,1
46,46,,2,2
66,66,,2,2
111,111,,2,2
162,162,,2,2
203,203,,2,2
236,236,,2,2
277,277,,2,2
138,138,,1,1
391,391,,1,1
190,190,,1,1
479,479,,1,1
357,357,,1,1
359,359,,2,2
85,85,,0,0
92,92,,0,0
343,343,,0,0
327,327,,1,1
358,358,,1,1
128,128,,0,0
415,415,,1,1
245,245,,1,1
321,321,,1,1
152,152,,1,1
170,170,,1,1
401,401,,1,1
445,445,,1,1
460,460,,1,1
